id,City,State,Country
380,Sainte-Geneviève,QC,Canada
381,Mt. Lebanon,PA,USA
382,Saint-Sauveur,QC,Canada
383,North York,ON,Canada
384,Willowick,OH,USA
385,Kirkland,QC,Canada
386,Stanley,NC,USA
387,Cornelius,NC,USA
388,Phx,AZ,USA
389,laveen,AZ,USA
390,Noyan,QC,Canada
391,University Heights,OH,USA
392,Sharon,ON,Canada
393,Cecil,PA,USA
394,Les Cèdres,QC,Canada
395,Montreal,QC,Canada
396,Homestead,PA,USA
397,Godmanchester,QC,Canada
398,Brentwood,PA,USA
399,Bay Village,OH,USA
400,Mount Holly,NC,USA
401,Wesley Chapel,NC,USA
402,Peoria,AZ,USA
403,Mooers,NY,USA
404,McDonald,PA,USA
405,Kirtland,OH,USA
406,Belœil,QC,Canada
407,Kleinburg,ON,Canada
408,Omaha Old,NE,USA
409,Candiac,QC,Canada
410,Green Valley,NV,USA
411,Calgary,MB,Canada
412,Sun City,AZ,USA
413,Springdale,PA,USA
414,Cote-Saint-Luc,QC,Canada
415,LaSalle,QC,Canada
416,Harrisburg,NC,USA
417,Cleveland Hts.,OH,USA
418,Lancaster,SC,USA
419,Mesa Old,AZ,USA
420,Pittsburgh,PA,USA
421,Mentor ohio,OH,USA
422,Cave Creek,AZ,USA
423,L'assomption,QC,Canada
424,Clarkson,ON,Canada
425,McMurray,PA,USA
426,Longueuil,QC,Canada
427,Thornhill,ON,Canada
428,Marieville,QC,Canada
429,Saint-Bruno-de-Montarville,QC,Canada
430,Macedonia,OH,USA
431,McKees Rocks,PA,USA
432,Saint-Hubert,QC,Canada
433,Glenshaw,PA,USA
434,Balzac,AB,Canada
435,Mount Horeb,WI,USA
436,solon,OH,USA
437,Robinson,PA,USA
438,St-Sauveur,QC,Canada
439,Fort Mills,SC,USA
440,Sainte-Anne-De-Bellevue,QC,Canada
441,Île-des-Soeurs,QC,Canada
442,Blainville,QC,Canada
443,South Euclid,OH,USA
444,Dollard-Des Ormeaux,QC,Canada
445,Charlemagne,QC,Canada
446,Malton,ON,Canada
447,King,ON,Canada
448,Euclid,OH,USA
449,Bridgeville,PA,USA
450,Ste-Rose,QC,Canada
451,Brossard,QC,Canada
452,Indian land,NC,USA
453,Mentor On The Lake,OH,USA
454,Indian Land,SC,USA
455,Etna,PA,USA
456,Val-Morin,QC,Canada
457,Mt. Holly,NC,USA
458,Concord Mills,NC,USA
459,Valley View,OH,USA
460,Waddell,AZ,USA
461,Las  Vegas,NV,USA
462,LAS VEGAS Old,NV,USA
463,Sagamore Hills,OH,USA
464,Lachute,QC,Canada
465,Bedford,QC,Canada
466,Sainte-Anne-de-Bellevue,QC,Canada
467,Boucherville,QC,Canada
468,Forest Hills,PA,USA
469,Mount Albert,ON,Canada
470,Montréal-Nord,QC,Canada
471,Champlain,NY,USA
472,Fairport Harbor,OH,USA
473,Saint-Esprit,QC,Canada
474,Phoenix Old,AZ,USA
475,Westmount,QC,Canada
476,Amherst,OH,USA
477,Wilkins,PA,USA
478,North Randall,OH,USA
479,Nellis Air Force Base,NV,USA
480,Blue Diamond,NV,USA
481,Repentigny,QC,Canada
482,Township of Concord,OH,USA
483,Lachenaie,QC,Canada
484,Tornto,ON,Canada
485,Kent,OH,USA
486,Sainte-Marguerite-du-Lac-Masson,QC,Canada
487,Beeton,ON,Canada
488,Tallmadge,OH,USA
489,Pineville,NC,USA
490,Richmond Heights,OH,USA
491,Maple Grove,QC,Canada
492,Midnapore,AB,Canada
493,Tremont,OH,USA
494,Lake Wylie,SC,USA
495,Waterloo,ON,Canada
496,Saint Laurent,QC,Canada
497,Monticello,IL,USA
498,Shadyside,PA,USA
499,St Leonard,QC,Canada
500,McAdenville,NC,USA
501,Orange Village,OH,USA
502,Charlotte,SC,USA
503,Waunakee,WI,USA
504,Kahnawake,QC,Canada
505,Thornhil,ON,Canada
506,East Liberty,PA,USA
507,Glendale Az,AZ,USA
508,Chertsey,QC,Canada
509,Auburn Twp,OH,USA
510,Franklin Park,PA,USA
511,Hemmingford,QC,Canada
512,Strongsville,OH,USA
513,Austinburg,OH,USA
514,Huntersville,NC,USA
515,Saint-Jerome,QC,Canada
516,Youngtown,AZ,USA
517,Sainte-Marguerite-du-lac-Masson,QC,Canada
518,Markham,ON,Canada
519,Perry,OH,USA
520,Mascouche,QC,Canada
521,Blawnox,PA,USA
522,Lakewood,OH,USA
523,Stallings,NC,USA
524,Monongahela,PA,USA
525,Vimont,QC,Canada
526,Mc Donald,PA,USA
527,PHOENIX old,AZ,USA
528,Mint  Hill,NC,USA
529,Unionville,ON,Canada
530,Hudson,QC,Canada
531,Saint-Hippolyte,QC,Canada
532,Pickering,ON,Canada
533,Fort McDowell,AZ,USA
534,St-Jean-sur-Richelieu,QC,Canada
535,Holland Landing,ON,Canada
536,Apache Junction,AZ,USA
537,Allison Park,PA,USA
538,Champaign,IL,USA
539,lyndhurst,OH,USA
540,Cramerton,NC,USA
541,Aurora,OH,USA
542,Munhall,PA,USA
543,Sun City West,AZ,USA
544,Plum,PA,USA
545,Dormont,PA,USA
546,Richmond Height,OH,USA
547,Brooklyn,WI,USA
548,Anthem,AZ,USA
549,N Versailles,PA,USA
550,Mckeesport,PA,USA
551,Homer,IL,USA
552,Bath,OH,USA
553,Rawdon,QC,Canada
554,Plum Boro,PA,USA
555,Trafford,PA,USA
556,Calgary,AL,USA
557,Olmsted Twp,OH,USA
558,Oakwood,OH,USA
559,Berea,OH,USA
560,Grafton,OH,USA
561,Whitaker,PA,USA
562,N.Olmsted,OH,USA
563,Catawba Springs,NC,USA
564,south Euclid,OH,USA
565,Cross Plains,WI,USA
566,Rostraver,PA,USA
567,Squirrel Hill,PA,USA
568,Mont-Saint-Hilaire,QC,Canada
569,Paradise Valley,AZ,USA
570,Mississuaga,ON,Canada
571,Buckeye,AZ,USA
572,Rio Verde,AZ,USA
573,North Braddock,PA,USA
574,Murrysville,PA,USA
575,Rouses Point,NY,USA
576,Moon Township,PA,USA
577,Don Mills,ON,Canada
578,Carefree,AZ,USA
579,Las Vegas Old,NV,USA
580,Sauk City,WI,USA
581,MESA Old,AZ,USA
582,L'Île-Bizard,QC,Canada
583,Terrebonne,QC,Canada
584,Midland,NC,USA
585,Guadalupe,AZ,USA
586,Herminie,PA,USA
587,Willowdale,ON,Canada
588,Coteau-Du-Lac,QC,Canada
589,York,ON,Canada
590,Venise-en-Québec,QC,Canada
591,St-Jerome,QC,Canada
592,Mcfarland,WI,USA
593,Les Coteaux,QC,Canada
594,Lachine,QC,Canada
595,Lowell,NC,USA
596,Mount Washington,PA,USA
597,Whitchurch-Stouffville,ON,Canada
598,Sainte-thérèse,QC,Canada
599,Cuddy,PA,USA
600,Finleyville,PA,USA
601,Somerton,AZ,USA
602,Laveen,AZ,USA
603,McCandless Township,PA,USA
604,Brampton,ON,Canada
605,Salaberry-De-Valleyfield,QC,Canada
606,Beaconsfield,QC,Canada
607,Brookpark,OH,USA
608,Bellevue,PA,USA
609,Vaudreuil,QC,Canada
610,Etibicoke,ON,Canada
611,Belmont,NC,USA
612,Monona,WI,USA
613,Penn Hills,PA,USA
614,Locust,NC,USA
615,Fort  Mill,SC,USA
616,Solon,OH,USA
617,Waxhaw,NC,USA
618,Wilkens Township,PA,USA
619,Pont-Viau,QC,Canada
620,Allentown,PA,USA
621,Harrisburg,PA,USA
622,St. Joseph,IL,USA
623,Westport,NC,USA
624,Cleveland Heights,OH,USA
625,Sheffield Village,OH,USA
626,Etobiicoke,ON,Canada
627,Kannapolis,NC,USA
628,Richfield,OH,USA
629,Swissvale,PA,USA
630,Lindale,OH,USA
631,Leetsdale,PA,USA
632,Newmarket,ON,Canada
633,Crescent,PA,USA
634,Verona,PA,USA
635,Crafton,PA,USA
636,Troy Township,OH,USA
637,Ranlo,NC,USA
638,Beachwood,OH,USA
639,Peters Township,PA,USA
640,Chandler,AZ,USA
641,Oka,QC,Canada
642,St-Leonard,QC,Canada
643,Mansfield,IL,USA
644,Sturgeon,PA,USA
645,Aurora,ON,Canada
646,Moon,PA,USA
647,Dollard-des-Ormeaux,QC,Canada
648,Mont-Royal,QC,Canada
649,Newbury,OH,USA
650,St-Clet,QC,Canada
651,Southeast Calgary,AB,Canada
652,Oakridges,ON,Canada
653,Mes,AZ,USA
654,W.Mifflin,PA,USA
655,Greenfield Park,QC,Canada
656,Sheffield Lake,OH,USA
657,Upper St. Clair,PA,USA
658,East Cleveland,OH,USA
659,Fairview Park,OH,USA
660,Dane,WI,USA
661,charlotte,NC,USA
662,Canonsburg,PA,USA
663,Concord,NC,USA
664,Chestermere,AB,Canada
665,Côte Saint-Luc,QC,Canada
666,Baldwin,PA,USA
667,Glassport,PA,USA
668,San Antonio Old,NV,USA
669,Avalon,PA,USA
670,Chagrin Falls,OH,USA
671,Maple Hts.,OH,USA
672,Mayfield Village,OH,USA
673,Brooklin,ON,Canada
674,Ogden,IL,USA
675,Mckees Rocks,PA,USA
676,East Pittsburgh,PA,USA
677,Concord,OH,USA
678,Laveen Village,AZ,USA
679,Pincourt,QC,Canada
680,Ajax,ON,Canada
681,Arnold,PA,USA
682,Glendale,AZ,USA
683,Upper Saint Clair,PA,USA
684,Port Credit,ON,Canada
685,Warrensville Heights,OH,USA
686,Imperial,PA,USA
687,Delson,QC,Canada
688,Boulder City,NV,USA
689,Mentor-on-the-Lake,OH,USA
690,Fort Mcdowell,AZ,USA
691,Middlefield,OH,USA
692,Gastonia,NC,USA
693,King City,ON,Canada
694,Richmond Hill,BC,Canada
695,Ben Avon,PA,USA
696,Akron,OH,USA
697,Halton Hills,ON,Canada
698,N.Ridgeville,OH,USA
699,Ahwatukee,AZ,USA
700,Dallas Old,NC,USA
701,Lagrange,OH,USA
702,Rantoul,IL,USA
703,Harrison City,PA,USA
704,cave creek,AZ,USA
705,Enterprise,NV,USA
706,Toronto,OH,USA
707,Sainte-Adèle,QC,Canada
708,Chargrin Falls,OH,USA
709,Brookline,PA,USA
710,Scottdale,AZ,USA
711,Monroeville,PA,USA
712,Dorval,QC,Canada
713,Saint-Basile-le-Grand,QC,Canada
714,Saint-Lazare,QC,Canada
715,Mount Lebanon,PA,USA
716,Bainbridge,OH,USA
717,Lower Lawrenceville,PA,USA
718,Philo,IL,USA
719,Bratenahl,OH,USA
720,Phoenix Valley,AZ,USA
721,Clairton,PA,USA
722,Sainte-Thérèse,QC,Canada
723,Denver,NC,USA
724,Roxboro,QC,Canada
725,La Prairie,QC,Canada
726,Mirabel,QC,Canada
727,Mcknight,PA,USA
728,Caledon East,ON,Canada
729,Saint-Liboire,QC,Canada
730,Gibsonia,PA,USA
731,Spring Valley,NV,USA
732,Bloomfield,PA,USA
733,Madison,WI,USA
734,Verona,WI,USA
735,East Mc Keesport,PA,USA
736,Ross Township,PA,USA
737,Napierville,QC,Canada
738,Northfield,OH,USA
739,Saint-Charles-Borromée,QC,Canada
740,Mont St-hilaire,QC,Canada
741,Lowesville,NC,USA
742,Fox Chapel,PA,USA
743,Library,PA,USA
744,El Mirage,AZ,USA
745,Cottage Grove,WI,USA
746,Bellvue,PA,USA
747,Highland Heights,OH,USA
748,Montéal,QC,Canada
749,Bond Head,ON,Canada
750,Glen Williams,ON,Canada
751,Milton,ON,Canada
752,Black Earth,WI,USA
753,Norton,OH,USA
754,Whtiby,ON,Canada
755,Saintt-Bruno-de-Montarville,QC,Canada
756,Saint-Léonard,QC,Canada
757,Saint-Leonard,QC,Canada
758,Montreal-Est,QC,Canada
759,Wilmerding,PA,USA
760,Montreal-Ouest,QC,Canada
761,Fort Mill,SC,USA
762,Sainte-Dorothée,QC,Canada
763,East McKeesport,PA,USA
764,Sharpsburg,PA,USA
765,Dravosburg,PA,USA
766,McFarland,WI,USA
767,South Amherst,OH,USA
768,Downtown,PA,USA
769,Bethel Park,PA,USA
770,Coteau-du-Lac,QC,Canada
771,Mt Lebanon,PA,USA
772,Pointe-Calumet,QC,Canada
773,Richmond Hts.,OH,USA
774,Saint-Roch-de-l'Achigan,QC,Canada
775,Salaberry-de-Valleyfield,QC,Canada
776,Lasalle,QC,Canada
777,Elizabeth Township,PA,USA
778,Saint-Charles-Borromee,QC,Canada
779,Middleburg Heights,OH,USA
780,Mcmurray,PA,USA
781,Oregon,WI,USA
782,Estérel,QC,Canada
783,Saint-Pierre-de-Véronne-à-Pike-River,QC,Canada
784,Bedford,OH,USA
785,Rural Ridge,PA,USA
786,Paw Creek,NC,USA
787,Concord,ON,Canada
788,Côte-Saint-Luc,QC,Canada
789,Saint-Lambert,QC,Canada
790,Verdun,QC,Canada
791,Sedona,AZ,USA
792,Saint-Hyacinthe,QC,Canada
793,Beloeil,QC,Canada
794,Charlotte Old,TX,USA
795,Sainte-Adele,QC,Canada
796,Goodwood,ON,Canada
797,Uxbridge,ON,Canada
798,St. Léonard,QC,Canada
799,Belle Vernon,PA,USA
800,North  York,ON,Canada
801,Agincourt,ON,Canada
802,Deux-Montagnes,QC,Canada
803,Garfield Heights,OH,USA
804,Saint-Laurent,QC,Canada
805,North Versailles,PA,USA
806,Mount Royal,QC,Canada
807,Regional Municipality of York,ON,Canada
808,Wadsworth,OH,USA
809,Willoughby,OH,USA
810,Clover,SC,USA
811,Stow,OH,USA
812,Chambly,QC,Canada
813,Painesville,OH,USA
814,Lower Burrell,PA,USA
815,Baie-d'Urfe,QC,Canada
816,4321 W Flamingo Rd,NV,USA
817,Ormstown,QC,Canada
818,RŽpentigny,QC,Canada
819,Moreland Hills,OH,USA
820,Garfield Hts,OH,USA
821,Toronto,ON,Canada
822,Medicine Hat,AB,Canada
823,Bradford,ON,Canada
824,Sainte-Therese,QC,Canada
825,Sainte-Marguerite-Esterel,QC,Canada
826,Duvernay,QC,Canada
827,Lemon Grove,CA,USA
828,Davidson,NC,USA
829,South Park Township,PA,USA
830,Saint-Jean-sur-Richelieu,QC,Canada
831,Saint Leonard,QC,Canada
832,Tega Cay,SC,USA
833,Fountain Hills,AZ,USA
834,Chesterland,OH,USA
835,Lawrenceville,PA,USA
836,Mc Murray,PA,USA
837,Brooklyn,OH,USA
838,New York,NY,USA
839,Los Angeles,CA,USA
840,Chicago,IL,USA
841,Houston,TX,USA
842,Phoenix,AZ,USA
843,Philadelphia,PA,USA
844,San Antonio,TX,USA
845,San Diego,CA,USA
846,Dallas,TX,USA
847,San Jose,CA,USA
848,Austin,TX,USA
849,Jacksonville,FL,USA
850,Fort Worth,TX,USA
851,San Francisco,CA,USA
852,Columbus,OH,USA
853,Charlotte,NC,USA
854,Indianapolis,IN,USA
855,Seattle,WA,USA
856,Denver,CO,USA
857,Washington,DC,USA
858,El Paso,TX,USA
859,Boston,MA,USA
860,Nashville,TN,USA
861,Portland,OR,USA
862,Las Vegas,NV,USA
863,Detroit,MI,USA
864,Oklahoma City,OK,USA
865,Memphis,TN,USA
866,Louisville,KY,USA
867,Baltimore,MD,USA
868,Milwaukee,WI,USA
869,Albuquerque,NM,USA
870,Tucson,AZ,USA
871,Fresno,CA,USA
872,Sacramento,CA,USA
873,Mesa,AZ,USA
874,Atlanta,GA,USA
875,Kansas City,MO,USA
876,Colorado Springs,CO,USA
877,Miami,FL,USA
878,Raleigh,NC,USA
879,Long Beach,CA,USA
880,Virginia Beach,VA,USA
881,Omaha,NE,USA
882,Oakland,CA,USA
883,Minneapolis,MN,USA
884,Arlington,TX,USA
885,Tampa,FL,USA
886,Tulsa,OK,USA
887,New Orleans,LA,USA
